Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
17-Oct,7:00 PM,Middle Tennessee at Liberty,Liberty,18.9,86%,36-17,Liberty -14,Liberty,4.9,55,Under,-2.4
17-Oct,7:30 PM,Southern Miss at South Alabama,USA,18.6,86%,36-17,USA -17,South Alabama,1.6,53.5,Under,-1
17-Oct,7:30 PM,Western Kentucky at Jacksonville State,Jax State,1.2,53%,28-26,WKU -7,Jacksonville State,8.2,61,Under,-7.1
18-Oct,7:00 PM,Florida International at Sam Houston,FIU,0.4,51%,23-22,SHSU -5,Florida International,5.4,39,Over,5.7
18-Oct,9:00 PM,New Mexico State at UTEP,NMSU,3.7,58%,29-25,NMSU -2.5,New Mexico State,1.2,49.5,Over,5
19-Oct,7:00 PM,James Madison at Marshall,JMU,5.4,62%,28-23,JMU -4,James Madison,1.4,52,Under,-1.2
19-Oct,7:00 PM,Rice at Tulsa,Tulsa,7.1,66%,32-25,Tulsa -2.5,Tulsa,4.6,57,Over,0.8
20-Oct,7:00 PM,SMU at Temple,SMU,15,81%,35-20,SMU -18,Temple,3,57.5,Under,-3.4
21-Oct,12:00 PM,Air Force at Navy,Air Force,17.6,84%,33-15,Air Force -10,Air Force,7.6,37.5,Over,10.1
21-Oct,12:00 PM,Baylor at Cincinnati,Cincinnati,5.2,62%,28-23,Cincinnati -1,Cincinnati,4.2,52,Under,-0.8
21-Oct,12:00 PM,Boston College at Georgia Tech,GT,9.4,71%,32-23,GT -5,Georgia Tech,4.4,57.5,Under,-2.7
21-Oct,12:00 PM,Memphis at UAB,Memphis,10.6,73%,35-25,Memphis -4.5,Memphis,6.1,63,Under,-3.4
21-Oct,12:00 PM,Mississippi State at Arkansas,Arkansas,2.7,56%,30-27,Arkansas -7,Mississippi State,4.3,50,Over,7.3
21-Oct,12:00 PM,Penn State at Ohio State,Ohio St.,5.6,63%,27-22,Ohio St. -4.5,Ohio State,1.1,48,Over,1.4
21-Oct,12:00 PM,Rutgers at Indiana,Rutgers,9,70%,29-20,Rutgers -5,Rutgers,4,43,Over,6.2
21-Oct,12:00 PM,UCF at Oklahoma,Oklahoma,13.8,79%,37-23,Oklahoma -19,UCF,5.2,63.5,Under,-3.7
21-Oct,12:00 PM,Western Michigan at Ohio,Ohio,16.9,83%,33-16,Ohio -15,Ohio,1.9,51,Under,-1.8
21-Oct,2:00 PM,Akron at Bowling Green,BGSU,5.5,63%,27-21,BGSU -9,Akron,3.5,41,Over,6.6
21-Oct,2:00 PM,Charlotte at East Carolina,ECU,9.5,71%,27-18,ECU -8,East Carolina,1.5,41.5,Over,3.3
21-Oct,2:00 PM,UL-Monroe at Georgia Southern,GS,11.7,75%,34-23,GS -17,UL-Monroe,5.3,58,Under,-0.7
21-Oct,3:30 PM,Buffalo at Kent State,Buffalo,5.3,62%,26-21,Buffalo -7.5,Kent State,2.2,47,Under,-0.6
21-Oct,3:30 PM,Central Michigan at Ball State,Ball St.,0.1,50%,24-24,CMU -3.5,Ball State,3.6,43.5,Over,5
21-Oct,3:30 PM,Eastern Michigan at Northern Illinois,NIU,7.7,67%,28-20,NIU -11,Eastern Michigan,3.3,45.5,Over,1.8
21-Oct,3:30 PM,Minnesota at Iowa,Iowa,6.9,65%,22-15,Iowa -5.5,Iowa,1.4,32.5,Over,5.2
21-Oct,3:30 PM,North Texas at Tulane,Tulane,17.3,84%,40-23,Tulane -20,North Texas,2.7,61.5,Over,1.6
21-Oct,3:30 PM,Northwestern at Nebraska,Nebraska,13.9,79%,30-16,Nebraska -12.5,Nebraska,1.4,44,Over,1.2
21-Oct,3:30 PM,Oklahoma State at West Virginia,WVU,1.4,53%,27-26,WVU -3,Oklahoma State,1.6,50.5,Over,2.9
21-Oct,3:30 PM,Pittsburgh at Wake Forest,Pitt,0.9,52%,26-25,Wake -1,Pittsburgh,1.9,48,Over,3
21-Oct,3:30 PM,South Carolina at Missouri,Missouri,7.8,67%,34-26,Missouri -6.5,Missouri,1.3,59.5,Over,0.9
21-Oct,3:30 PM,Tennessee at Alabama,Alabama,4.9,61%,28-23,Alabama -9,Tennessee,4.1,48,Over,3.7
21-Oct,3:30 PM,USF at Connecticut,USF,3.7,59%,30-26,USF -3,USF,0.7,56.5,Under,-1.1
21-Oct,3:30 PM,Washington State at Oregon,Oregon,15.8,82%,37-21,Oregon -20,Washington State,4.2,60,Under,-2.2
21-Oct,3:30 PM,Wisconsin at Illinois,Wisconsin,7,66%,27-20,Wisconsin -4.5,Wisconsin,2.5,43.5,Over,2.7
21-Oct,4:00 PM,Texas at Houston,Texas,18.2,85%,39-21,Texas -22,Houston,3.8,61.5,Under,-2.1
21-Oct,4:00 PM,Toledo at Miami-OH,Toledo,1.5,53%,26-25,PICK,Toledo,1.5,50,Over,1
21-Oct,6:00 PM,Hawaii at New Mexico,Hawaii,1.2,53%,30-28,UNM -2.5,Hawaii,3.7,59.5,Under,-1.7
21-Oct,6:00 PM,UTSA at Florida Atlantic,UTSA,2.8,56%,28-25,UTSA -3,Florida Atlantic,0.2,58.5,Under,-5.4
21-Oct,6:30 PM,Virginia at North Carolina,UNC,23.6,91%,38-15,UNC -23,North Carolina,0.6,56,Under,-2.9
21-Oct,7:00 PM,Appalachian State at Old Dominion,App. St.,3.2,57%,28-25,App. St. -6.5,Old Dominion,3.3,54.5,Under,-0.9
21-Oct,7:00 PM,Coastal Carolina at Arkansas State,Coastal,10.7,73%,33-23,Coastal -9,Coastal Carolina,1.7,62,Under,-5.7
21-Oct,7:00 PM,Colorado State at UNLV,UNLV,8.9,70%,32-23,UNLV -7,UNLV,1.9,61.5,Under,-6
21-Oct,7:00 PM,Ole Miss at Auburn,Ole Miss,7.7,67%,32-24,Ole Miss -5.5,Ole Miss,2.2,56.5,Under,-1
21-Oct,7:00 PM,TCU at Kansas State,K-State,5.1,62%,31-26,K-State -7.5,TCU,2.4,57,Over,0.4
21-Oct,7:00 PM,Texas Tech at BYU,Texas Tech,5.3,62%,31-25,Texas Tech -4.5,Texas Tech,0.8,51,Over,5
21-Oct,7:00 PM,Utah State at San Jose State,SJSU,2.4,56%,31-28,SJSU -4.5,Utah State,2.1,66.5,Under,-7.9
