Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
28-Sep,7:30 PM,Middle Tennessee at Western Kentucky,WKU,9.6,71%,32-23,WKU -8,Western Kentucky,1.6,60.5,Under,-5.7
28-Sep,7:30 PM,Temple at Tulsa,Tulsa,5,61%,29-24,Tulsa -4,Tulsa,1,55.5,Under,-3
28-Sep,8:00 PM,Jacksonville State at Sam Houston,Jax State,7.4,66%,23-16,Jax State -4.5,Jacksonville State,2.9,36.5,Over,1.9
29-Sep,7:00 PM,Louisville at NC State,Louisville,7.2,66%,30-23,Louisville -3,Louisville,4.2,55.5,Under,-3.1
29-Sep,9:00 PM,Louisiana Tech at UTEP,LT,0.4,51%,27-27,LT -1,UTEP,0.6,53.5,Over,0.1
29-Sep,9:00 PM,Utah at Oregon State,Oregon St.,1.5,53%,26-25,Oregon St. -1.5,Oregon State,0,47,Over,4.4
29-Sep,10:15 PM,Cincinnati at BYU,BYU,2.8,56%,26-24,BYU -2.5,BYU,0.3,50,Over,0.1
30-Sep,12:00 PM,Arkansas vs. Texas A&M,Texas A&M,10.9,74%,33-22,Texas A&M -6.5,Texas A&M,4.4,55,Under,-0.4
30-Sep,12:00 PM,Buffalo at Akron,Akron,0.8,52%,29-28,Akron -1.5,Buffalo,0.7,56.5,Over,0.5
30-Sep,12:00 PM,Clemson at Syracuse,Clemson,2,55%,27-25,Clemson -6.5,Syracuse,4.5,51.5,Over,0.6
30-Sep,12:00 PM,Florida at Kentucky,Kentucky,5.3,62%,26-21,Florida -3,Kentucky,8.3,45.5,Over,2
30-Sep,12:00 PM,Penn State at Northwestern,Penn St.,28.2,95%,37-9,Penn St. -26,Penn State,2.2,46.5,Under,-0.6
30-Sep,12:00 PM,South Alabama at James Madison,JMU,3.7,59%,29-25,JMU -4,South Alabama,0.3,51,Over,3.2
30-Sep,12:00 PM,UAB at Tulane,Tulane,23,91%,38-15,Tulane -21,Tulane,2,56.5,Under,-3.2
30-Sep,12:00 PM,UL-Lafayette at Minnesota,Minnesota,5,61%,28-23,Minnesota -9.5,UL-Lafayette,4.5,47.5,Over,3.3
30-Sep,12:00 PM,USC at Colorado,USC,26.2,94%,46-19,USC -24,USC,2.2,73.5,Under,-8.7
30-Sep,12:00 PM,Utah State at Connecticut,Utah St.,8.4,69%,30-21,Utah St. -6.5,Utah State,1.9,52,Under,-1.4
