Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
30-Sep,1:30 PM,Eastern Michigan at Central Michigan,EMU,0.1,50%,24-24,CMU -6,Eastern Michigan,6.1,49.5,Under,-0.8
30-Sep,2:00 PM,Virginia at Boston College,BC,3.2,57%,27-24,BC -2,Boston College,1.2,56.5,Under,-5.4
30-Sep,2:30 PM,Miami-OH at Kent State,Miami (OH),15.3,81%,30-15,Miami (OH) -16,Kent State,0.7,51,Under,-6.5
30-Sep,3:00 PM,Arizona State at California,Cal,12.1,76%,32-20,Cal -11,California,1.1,48.5,Over,3.8
30-Sep,3:30 PM,Arkansas State at Massachusetts,Ark. St.,0.1,50%,27-27,Ark. St. -1,Massachusetts,0.9,56.5,Under,-2.5
30-Sep,3:30 PM,Ball State at Western Michigan,WMU,2.1,55%,26-24,WMU -2,Western Michigan,0.1,54,Under,-3.2
30-Sep,3:30 PM,Baylor at UCF,UCF,13.9,79%,34-20,UCF -12,UCF,1.9,57,Under,-2.6
30-Sep,3:30 PM,Bowling Green at Georgia Tech,GT,18.7,86%,37-18,GT -20,Bowling Green,1.3,54.5,Under,0
30-Sep,3:30 PM,Georgia at Auburn,UGA,14.6,80%,32-18,UGA -16,Auburn,1.4,47,Over,3.3
30-Sep,3:30 PM,Houston at Texas Tech,Texas Tech,11,74%,35-24,Texas Tech -9.5,Texas Tech,1.5,56,Over,2.1
30-Sep,3:30 PM,Illinois at Purdue,Illinois,4.6,60%,27-22,Purdue -1.5,Illinois,6.1,55,Under,-6.1
30-Sep,3:30 PM,Indiana at Maryland,Maryland,21.2,89%,35-14,Maryland -14,Maryland,7.2,51,Under,-1.6
30-Sep,3:30 PM,Kansas at Texas,Texas,19.5,87%,39-19,Texas -17,Texas,2.5,61.5,Under,-3.7
30-Sep,3:30 PM,Michigan at Nebraska,Michigan,22.3,90%,34-11,Michigan -18.5,Michigan,3.8,42.5,Over,2.4
30-Sep,3:30 PM,Northern Illinois at Toledo,Toledo,22.4,90%,37-14,Toledo -13.5,Toledo,8.9,50,Over,1.2
30-Sep,3:30 PM,Old Dominion at Marshall,Marshall,13.4,78%,28-15,Marshall -13.5,Old Dominion,0.1,46.5,Under,-3.9
30-Sep,3:30 PM,USF at Navy,Navy,1.8,54%,26-24,Navy -3,USF,1.2,53,Under,-2.4
30-Sep,3:30 PM,Wagner at Rutgers,Rutgers,52,100%,52-0,,,,,,
30-Sep,4:00 PM,Boise State at Memphis,Memphis,7.2,66%,32-25,Memphis -2.5,Memphis,4.7,59.5,Under,-2.1
30-Sep,4:00 PM,Hawaii at UNLV,UNLV,10.8,73%,34-23,UNLV -9.5,UNLV,1.3,61,Under,-4.6
30-Sep,4:00 PM,Missouri at Vanderbilt,Missouri,14.1,79%,35-21,Missouri -12.5,Missouri,1.6,56.5,Under,-1.2
30-Sep,4:00 PM,New Mexico at Wyoming,Wyoming,12.2,76%,31-19,Wyoming -12,Wyoming,0.2,41,Over,8.5
30-Sep,6:00 PM,LSU at Ole Miss,Ole Miss,2.2,55%,31-29,LSU -2.5,Ole Miss,4.7,62.5,Under,-3.3
30-Sep,6:30 PM,Oregon at Stanford,Oregon,31.1,96%,44-12,Oregon -26,Oregon,5.1,62.5,Under,-6.6
30-Sep,7:00 PM,Abilene Christian at North Texas,UNT,10,72%,36-26,,,,,,
30-Sep,7:00 PM,Coastal Carolina at Georgia Southern,Coastal,2.4,55%,31-28,GS -5,Coastal Carolina,7.4,63.5,Under,-4.6
30-Sep,7:00 PM,East Carolina at Rice,Rice,0.9,52%,28-27,Rice -4.5,East Carolina,3.6,51,Over,3.2
30-Sep,7:00 PM,Iowa State at Oklahoma,Oklahoma,20.8,89%,33-12,Oklahoma -20.5,Oklahoma,0.3,48.5,Under,-3
30-Sep,7:00 PM,Texas State at Southern Miss,Texas St.,3.1,57%,27-24,Texas St. -7.5,Southern Miss,4.4,61.5,Under,-10.9
30-Sep,7:00 PM,Troy at Georgia State,GSU,3.1,57%,28-25,GSU -3,Georgia State,0.1,52.5,Over,1.3
30-Sep,7:00 PM,Utah Tech at Colorado State,CSU,26.7,94%,43-16,,,,,,
30-Sep,7:30 PM,Charlotte at SMU,SMU,23.6,91%,39-16,SMU -21.5,SMU,2.1,57.5,Under,-2.2
30-Sep,7:30 PM,Michigan State at Iowa,Iowa,8,68%,23-15,Iowa -11,Michigan State,3,35,Over,3.1
30-Sep,7:30 PM,Notre Dame at Duke,Notre Dame,2.6,56%,28-25,Notre Dame -4,Duke,1.4,52.5,Over,0.1
30-Sep,7:30 PM,South Carolina at Tennessee,Tennessee,14.1,79%,37-23,Tennessee -11.5,Tennessee,2.6,61,Under,-1.6
30-Sep,8:00 PM,Appalachian State at UL-Monroe,App. St.,13,77%,34-21,App. St. -13.5,UL-Monroe,0.5,54.5,Over,0.4
30-Sep,8:00 PM,Pittsburgh at Virginia Tech,Pitt,5.7,63%,27-21,Pitt -2.5,Pittsburgh,3.2,42,Over,5.3
30-Sep,8:00 PM,San Diego State at Air Force,Air Force,16.6,83%,31-14,Air Force -9.5,Air Force,7.1,44,Over,1.4
30-Sep,8:00 PM,West Virginia at TCU,TCU,14,79%,34-20,TCU -9.5,TCU,4.5,50.5,Over,3.3
30-Sep,9:00 PM,Alabama at Mississippi State,Alabama,15.2,81%,35-20,Alabama -14.5,Alabama,0.7,47,Over,7.5
30-Sep,10:00 PM,Washington at Arizona,Washington,18,85%,40-22,Washington -18,Washington,0,70.5,Under,-7.8
30-Sep,10:30 PM,Nevada at Fresno State,Fresno,28.5,95%,41-12,Fresno -24,Fresno State,4.5,53.5,Under,-0.5
