Date,GameType,Conf,Team,H/A,Opponent,Score,OppScore,W/L,Margin,PGWE,Adj Mgn
16-Sep,Non,0,Vanderbilt,A,UNLV,37,40,0,-3,37.10%,-2.7
23-Sep,Conf,1,Vanderbilt,H,Kentucky,28,45,0,-17,1.40%,-18.4
30-Sep,Conf,1,Vanderbilt,H,Missouri,21,38,0,-17,0.80%,-20.1
7-Oct,Conf,1,Vanderbilt,A,Florida,14,38,0,-24,0.30%,-23.1
14-Oct,Conf,1,Vanderbilt,H,Georgia,20,37,0,-17,0.20%,-24
2-Sep,Non,0,Virginia,N,Tennessee,13,49,0,-36,0.00%,-30.5
9-Sep,Non,0,Virginia,H,James Madison,35,36,0,-1,41.70%,-1.8
15-Sep,Non,0,Virginia,A,Maryland,14,42,0,-28,0.10%,-25.5
22-Sep,Conf,1,Virginia,H,NC State,21,24,0,-3,34.30%,-3.4
30-Sep,Conf,1,Virginia,A,Boston College,24,27,0,-3,41.00%,-1.9
7-Oct,FCS,0,Virginia,H,William & Mary,27,13,1,14,99.90%,27
21-Oct,Conf,1,Virginia,A,North Carolina,31,27,1,4,28.70%,-4.7
2-Sep,Non,0,Virginia Tech,H,Old Dominion,36,17,1,19,84.30%,8.4
9-Sep,Non,0,Virginia Tech,H,Purdue,17,24,0,-7,42.10%,-1.7
16-Sep,Non,0,Virginia Tech,A,Rutgers,16,35,0,-19,8.70%,-11.4
23-Sep,Non,0,Virginia Tech,A,Marshall,17,24,0,-7,34.70%,-3.3
30-Sep,Conf,1,Virginia Tech,H,Pittsburgh,38,21,1,17,93.30%,12.5
7-Oct,Conf,1,Virginia Tech,A,Florida State,17,39,0,-22,0.00%,-28
14-Oct,Conf,1,Virginia Tech,H,Wake Forest,30,13,1,17,99.80%,24.3
31-Aug,FCS,0,Wake Forest,H,Elon,37,17,1,20,100.00%,30.8
9-Sep,Non,0,Wake Forest,H,Vanderbilt,36,20,1,16,59.90%,2.1
16-Sep,Non,0,Wake Forest,A,Old Dominion,27,24,1,3,81.50%,7.5
23-Sep,Conf,1,Wake Forest,H,Georgia Tech,16,30,0,-14,17.80%,-7.7
7-Oct,Conf,1,Wake Forest,A,Clemson,12,17,0,-5,13.70%,-9.1
14-Oct,Conf,1,Wake Forest,A,Virginia Tech,13,30,0,-17,0.20%,-24.3
21-Oct,Conf,1,Wake Forest,H,Pittsburgh,21,17,1,4,52.90%,0.6
2-Sep,Non,0,Washington,H,Boise State,56,19,1,37,100.00%,31.6
9-Sep,Non,0,Washington,H,Tulsa,43,10,1,33,100.00%,44.1
16-Sep,Non,0,Washington,A,Michigan State,41,7,1,34,100.00%,51.2
23-Sep,Conf,1,Washington,H,California,59,32,1,27,100.00%,33.1
30-Sep,Conf,1,Washington,A,Arizona,31,24,1,7,91.70%,11.6
14-Oct,Conf,1,Washington,H,Oregon,36,33,1,3,77.70%,6.4
21-Oct,Conf,1,Washington,H,Arizona State,15,7,1,8,88.50%,10
2-Sep,Non,0,Washington State,A,Colorado State,50,24,1,26,100.00%,32.3
9-Sep,Non,0,Washington State,H,Wisconsin,31,22,1,9,76.00%,5.9
16-Sep,FCS,0,Washington State,H,Northern Colorado,64,21,1,43,100.00%,49.9
23-Sep,Conf,1,Washington State,H,Oregon State,38,35,1,3,93.80%,12.9
7-Oct,Conf,1,Washington State,A,UCLA,17,25,0,-8,6.70%,-12.5
14-Oct,Conf,1,Washington State,H,Arizona,6,44,0,-38,0.00%,-31.1
21-Oct,Conf,1,Washington State,A,Oregon,24,38,0,-14,0.20%,-23.7
2-Sep,Non,0,West Virginia,A,Penn State,15,38,0,-23,0.00%,-29.9
9-Sep,FCS,0,West Virginia,H,Duquesne,56,17,1,39,100.00%,34.9
16-Sep,Non,0,West Virginia,H,Pittsburgh,17,6,1,11,70.90%,4.6
23-Sep,Conf,1,West Virginia,H,Texas Tech,20,13,1,7,59.20%,2
30-Sep,Conf,1,West Virginia,A,TCU,24,21,1,3,71.10%,4.7
12-Oct,Conf,1,West Virginia,A,Houston,39,41,0,-2,14.50%,-8.8
21-Oct,Conf,1,West Virginia,H,Oklahoma State,34,48,0,-14,8.00%,-11.7
2-Sep,Non,0,Western Kentucky,H,USF,41,24,1,17,88.10%,9.9
16-Sep,Non,0,Western Kentucky,A,Ohio State,10,63,0,-53,0.00%,-46.5
23-Sep,Non,0,Western Kentucky,A,Troy,24,27,0,-3,45.70%,-0.9
28-Sep,Conf,1,Western Kentucky,H,Middle Tennessee,31,10,1,21,93.50%,12.7
5-Oct,Conf,1,Western Kentucky,A,Louisiana Tech,35,28,1,7,85.90%,9
17-Oct,Conf,1,Western Kentucky,A,Jacksonville State,17,20,0,-3,8.20%,-11.6
31-Aug,FCS,0,Western Michigan,H,Saint Francis-PA,35,17,1,18,90.90%,11.1
9-Sep,Non,0,Western Michigan,A,Syracuse,7,48,0,-41,0.00%,-29.7
16-Sep,Non,0,Western Michigan,A,Iowa,10,41,0,-31,0.30%,-23.2
23-Sep,Conf,1,Western Michigan,A,Toledo,31,49,0,-18,0.10%,-25.2
30-Sep,Conf,1,Western Michigan,H,Ball State,42,24,1,18,87.30%,9.5
7-Oct,Non,0,Western Michigan,A,Mississippi State,28,41,0,-13,2.00%,-17.2
14-Oct,Conf,1,Western Michigan,H,Miami-OH,21,34,0,-13,3.70%,-15
21-Oct,Conf,1,Western Michigan,A,Ohio,17,20,0,-3,35.40%,-3.1
2-Sep,Non,0,Wisconsin,H,Buffalo,38,17,1,21,99.50%,21.7
9-Sep,Non,0,Wisconsin,A,Washington State,22,31,0,-9,24.00%,-5.9
16-Sep,Non,0,Wisconsin,H,Georgia Southern,35,14,1,21,99.30%,20.5
22-Sep,Conf,1,Wisconsin,A,Purdue,38,17,1,21,93.30%,12.5
7-Oct,Conf,1,Wisconsin,H,Rutgers,24,13,1,11,97.60%,16.5
14-Oct,Conf,1,Wisconsin,H,Iowa,6,15,0,-9,32.50%,-3.8
21-Oct,Conf,1,Wisconsin,A,Illinois,25,21,1,4,64.90%,3.2
2-Sep,Non,0,Wyoming,H,Texas Tech,35,33,1,2,14.30%,-8.9
9-Sep,FCS,0,Wyoming,H,Portland State,31,17,1,14,100.00%,27.9
16-Sep,Non,0,Wyoming,A,Texas,10,31,0,-21,0.10%,-25.3
23-Sep,Non,0,Wyoming,H,Appalachian State,22,19,1,3,75.50%,5.8
30-Sep,Conf,1,Wyoming,H,New Mexico,35,26,1,9,92.00%,11.7
7-Oct,Conf,1,Wyoming,H,Fresno State,24,19,1,5,75.00%,5.6
14-Oct,Conf,1,Wyoming,A,Air Force,27,34,0,-7,12.30%,-9.7
