Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
10-Oct,7:00 PM,Louisiana Tech at Middle Tennessee,LT,1.1,53%,28-26,MTSU -2.5,Louisiana Tech,3.6,54.5,Under,-0.6
10-Oct,7:30 PM,Coastal Carolina at Appalachian State,Coastal,2.4,55%,31-28,App. St. -5,Coastal Carolina,7.4,63,Under,-3.9
10-Oct,7:30 PM,Liberty at Jacksonville State,Liberty,5.1,62%,28-23,Liberty -6,Jacksonville State,0.9,56,Under,-4.2
11-Oct,7:30 PM,UTEP at Florida International,FIU,4.2,60%,27-23,UTEP -2.5,Florida International,6.7,44,Over,6.4
11-Oct,9:00 PM,Sam Houston at New Mexico State,NMSU,10.1,72%,29-19,NMSU -6,New Mexico State,4.1,43,Over,5.1
12-Oct,7:00 PM,West Virginia at Houston,WVU,1.6,54%,29-28,WVU -3.5,Houston,1.9,52.5,Over,4.1
12-Oct,7:30 PM,SMU at East Carolina,SMU,9.6,71%,30-21,SMU -9,SMU,0.6,50,Over,1.4
13-Oct,7:00 PM,Tulane at Memphis,Memphis,0,50%,29-29,Tulane -3,Memphis,3,56.5,Over,1.5
13-Oct,8:00 PM,Fresno State at Utah State,Fresno,7.8,67%,31-23,Fresno -7,Fresno State,0.8,61.5,Under,-7.6
13-Oct,10:00 PM,Stanford at Colorado,Colorado,8.9,70%,32-23,Colorado -11,Stanford,2.1,59,Under,-3.4
14-Oct,12:00 PM,Arkansas at Alabama,Alabama,19.6,87%,36-17,Alabama -19.5,Alabama,0.1,48.5,Over,4.8
14-Oct,12:00 PM,Georgia at Vanderbilt,UGA,28.1,95%,43-15,UGA -31.5,Vanderbilt,3.4,57,Over,0.2
14-Oct,12:00 PM,Georgia Southern at James Madison,JMU,8.9,70%,34-25,JMU -3.5,James Madison,5.4,58.5,Over,0.1
14-Oct,12:00 PM,Indiana at Michigan,Michigan,36.5,98%,44-7,Michigan -34,Michigan,2.5,49.5,Over,1.5
14-Oct,12:00 PM,Iowa State at Cincinnati,Cincinnati,2.3,55%,23-21,Cincinnati -3.5,Iowa State,1.2,50,Under,-5.6
14-Oct,12:00 PM,Kent State at Eastern Michigan,EMU,9.3,70%,26-17,EMU -10.5,Kent State,1.2,45.5,Under,-2.2
14-Oct,12:00 PM,Michigan State at Rutgers,Rutgers,2.6,56%,24-22,Rutgers -6,Michigan State,3.4,41.5,Over,4.4
14-Oct,12:00 PM,Ohio State at Purdue,Ohio St.,21.1,89%,37-16,Ohio St. -20,Ohio State,1.1,51.5,Over,1
14-Oct,12:00 PM,Syracuse at Florida State,FSU,12.1,76%,33-21,FSU -17.5,Syracuse,5.4,56.5,Under,-3.3
14-Oct,12:00 PM,Temple at North Texas,UNT,7.1,66%,34-27,UNT -8,Temple,0.9,70.5,Under,-8.6
14-Oct,2:00 PM,Navy at Charlotte,Navy,4.5,60%,27-23,Navy -4,Navy,0.5,45,Over,5.3
14-Oct,2:00 PM,Toledo at Ball State,Toledo,18.7,86%,36-18,Toledo -15.5,Toledo,3.2,52,Over,2.2
14-Oct,3:00 PM,California at Utah,Utah,15.5,81%,33-17,Utah -13.5,Utah,2,45.5,Over,4.6
14-Oct,3:30 PM,Akron at Central Michigan,CMU,2.3,55%,26-24,CMU -13,Akron,10.7,48,Over,2
