Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
14-Oct,3:30 PM,Bowling Green at Buffalo,Buffalo,5.8,63%,31-25,Buffalo -6,Bowling Green,0.2,49.5,Over,6
14-Oct,3:30 PM,BYU at TCU,TCU,7.9,68%,32-24,TCU -5,TCU,2.9,52,Over,3.5
14-Oct,3:30 PM,Florida at South Carolina,Florida,1,52%,29-28,S. Caro. -2,Florida,3,53.5,Over,3.9
14-Oct,3:30 PM,Florida Atlantic at USF,FAU,0.4,51%,27-26,USF -2,Florida Atlantic,2.4,59.5,Under,-6.4
14-Oct,3:30 PM,Illinois at Maryland,Maryland,11.7,75%,30-19,Maryland -14.5,Illinois,2.8,52.5,Under,-3.7
14-Oct,3:30 PM,Kansas at Oklahoma State,Kansas,0.5,51%,30-29,Kansas -4.5,Oklahoma State,4,58,Over,0.7
14-Oct,3:30 PM,Massachusetts at Penn State,Penn St.,38,99%,46-8,Penn St. -42,Massachusetts,4,58,Under,-4.6
14-Oct,3:30 PM,Miami-OH at Western Michigan,Miami (OH),14.1,79%,33-19,Miami (OH) -9.5,Miami-OH,4.6,53.5,Under,-1.7
14-Oct,3:30 PM,Oregon at Washington,Washington,2.2,55%,32-30,Washington -3,Oregon,0.8,67.5,Under,-4.9
14-Oct,3:30 PM,Texas A&M at Tennessee,Tennessee,2.1,55%,28-26,Tennessee -3,Texas A&M,0.9,56,Under,-2.4
14-Oct,3:30 PM,Troy at Army,Troy,10.3,72%,29-19,Troy -3.5,Troy,6.8,44,Over,3.5
14-Oct,3:30 PM,Wake Forest at Virginia Tech,Wake,3.2,57%,26-23,Wake -1,Wake Forest,2.2,49,Over,0.4
14-Oct,4:00 PM,Iowa at Wisconsin,Wisconsin,9.7,71%,24-15,Wisconsin -9.5,Wisconsin,0.2,37,Over,2.1
14-Oct,4:00 PM,Ohio at Northern Illinois,Ohio,5.5,62%,27-21,Ohio -7,Northern Illinois,1.5,47,Over,1.2
14-Oct,5:00 PM,UNLV at Nevada,UNLV,9.7,71%,32-22,UNLV -9.5,UNLV,0.2,56,Under,-2.3
14-Oct,6:00 PM,San Jose State at New Mexico,SJSU,4.8,61%,31-26,SJSU -8,New Mexico,3.2,57.5,Under,-0.9
14-Oct,6:30 PM,Louisville at Pittsburgh,Louisville,8.7,69%,30-21,Louisville -10,Pittsburgh,1.3,47.5,Over,3.6
14-Oct,7:00 PM,Arizona at Washington State,Wazzu,7.7,67%,33-26,Wazzu -8.5,Arizona,0.8,60.5,Under,-1.5
14-Oct,7:00 PM,Auburn at LSU,LSU,8.1,68%,35-26,LSU -11.5,Auburn,3.4,63.5,Under,-2.6
14-Oct,7:00 PM,Kansas State at Texas Tech,Texas Tech,1.3,53%,29-28,Texas Tech -1,Texas Tech,0.3,56,Over,1
14-Oct,7:00 PM,Marshall at Georgia State,Marshall,0.1,50%,26-26,GSU -1,Marshall,1.1,57,Under,-4.7
14-Oct,7:00 PM,UL-Monroe at Texas State,Texas St.,14.1,79%,34-20,Texas St. -16,UL-Monroe,1.9,62,Under,-7.2
14-Oct,7:00 PM,Wyoming at Air Force,Air Force,10.9,74%,28-17,Air Force -9.5,Air Force,1.4,45.5,Under,-0.5
14-Oct,7:30 PM,Miami-FL at North Carolina,UNC,2,55%,29-27,UNC -3.5,Miami-FL,1.5,56,Under,-1
14-Oct,7:30 PM,Missouri at Kentucky,Kentucky,2.6,56%,27-25,Kentucky -2.5,Kentucky,0.1,53.5,Under,-1.3
14-Oct,7:30 PM,USC at Notre Dame,Notre Dame,0.4,51%,30-30,Notre Dame -2.5,USC,2.1,62.5,Under,-2.2
14-Oct,8:00 PM,NC State at Duke,Duke,9.6,71%,29-20,Duke -3.5,Duke,6.1,48,Over,1.1
14-Oct,8:00 PM,UAB at UTSA,UTSA,10.4,73%,34-24,UTSA -8.5,UTSA,1.9,64.5,Under,-6.4
14-Oct,8:00 PM,UCLA at Oregon State,Oregon St.,1.3,53%,28-27,Oregon St. -5,UCLA,3.7,53.5,Over,1.9
14-Oct,9:45 PM,Boise State at Colorado State,Boise St.,12.2,76%,34-22,Boise St. -7,Boise State,5.2,62.5,Under,-6.2
14-Oct,11:00 PM,San Diego State at Hawaii,SDSU,3.8,59%,28-24,SDSU -5,Hawaii,1.2,52,Over,0.7
