Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
7-Sep,7:30 PM,Murray State at Louisville,Louisville,38.4,99%,44-6,,,,,,
8-Sep,7:30 PM,Illinois at Kansas,Kansas,2,55%,27-25,Kansas -3.5,Illinois,1.5,56,Under,-3.3
9-Sep,11:00 AM,Vanderbilt at Wake Forest,Wake,14.7,80%,36-22,Wake -10.5,Wake Forest,4.2,57.5,Over,0.3
9-Sep,12:00 PM,Ball State at Georgia,UGA,51,100%,51-0,UGA -42,Georgia,9,53,Under,-2.8
9-Sep,12:00 PM,Delaware at Penn State,Penn St.,31.9,97%,40-8,,,,,,
9-Sep,12:00 PM,Delaware State at Army,Army,25.2,93%,35-9,,,,,,
9-Sep,12:00 PM,Holy Cross at Boston College,Holy Cross,4.5,60%,30-25,,,,,,
9-Sep,12:00 PM,James Madison at Virginia,JMU,12.4,76%,28-16,JMU -7,James Madison,5.4,44,Over,0.4
9-Sep,12:00 PM,Nebraska at Colorado,Nebraska,8.2,68%,30-22,Colorado -3.5,Nebraska,11.7,57.5,Under,-5.5
9-Sep,12:00 PM,Notre Dame at NC State,Notre Dame,14.2,79%,31-17,Notre Dame -7.5,Notre Dame,6.7,51,Under,-3.2
9-Sep,12:00 PM,Purdue at Virginia Tech,VT,2,55%,27-25,VT -3,Purdue,1,50,Over,1.1
9-Sep,12:00 PM,Troy at Kansas State,K-State,19.1,87%,35-15,K-State -15.5,Kansas State,3.6,50.5,Under,-0.4
9-Sep,12:00 PM,Utah at Baylor,Utah,13.1,77%,35-22,Utah -7,Utah,6.1,49,Over,8.7
9-Sep,12:00 PM,Youngstown State at Ohio State,Ohio St.,36.4,98%,45-9,,,,,,
9-Sep,1:00 PM,SC State at Georgia Tech,GT,36.7,98%,44-7,,,,,,
9-Sep,1:30 PM,New Hampshire at Central Michigan,New Hampshire,7.7,67%,30-22,,,,,,
9-Sep,2:00 PM,Eastern Illinois at Bowling Green,BGSU,7.3,66%,28-20,,,,,,
9-Sep,2:15 PM,Charleston Southern at Clemson,Clemson,48.6,100%,49-0,,,,,,
9-Sep,3:00 PM,Eastern Kentucky at Kentucky,Kentucky,34.8,98%,45-10,,,,,,
9-Sep,3:00 PM,Southern Utah at BYU,BYU,26.2,94%,39-12,,,,,,
9-Sep,3:30 PM,Iowa at Iowa State,Iowa,0.3,51%,17-17,Iowa -4,Iowa State,3.7,36.5,Under,-2.5
9-Sep,3:30 PM,Miami-OH at Massachusetts,Miami (OH),1.1,53%,23-22,Miami (OH) -7,Massachusetts,5.9,46.5,Under,-1.6
9-Sep,3:30 PM,Ole Miss at Tulane,Ole Miss,6.8,65%,33-26,Ole Miss -7,Tulane,0.2,62.5,Under,-4.3
9-Sep,3:30 PM,Richmond at Michigan State,Mich. St.,25.7,93%,34-8,,,,,,
9-Sep,3:30 PM,Southern Illinois at Northern Illinois,Southern Illinois,4.8,61%,32-27,,,,,,
9-Sep,3:30 PM,Texas A&M at Miami-FL,Texas A&M,2.3,55%,24-22,Texas A&M -4,Miami-FL,1.7,49,Under,-3.1
9-Sep,3:30 PM,Texas Southern at Toledo,Toledo,29.1,95%,44-14,,,,,,
9-Sep,3:30 PM,Texas State at UTSA,UTSA,18.4,86%,33-15,UTSA -11,UTSA,7.4,63.5,Under,-15.6
9-Sep,3:30 PM,UNLV at Michigan,Michigan,40.2,99%,45-5,Michigan -36,Michigan,4.2,57.5,Under,-7
9-Sep,3:30 PM,UTEP at Northwestern,Northwestern,0,50%,21-20,UTEP -1.5,Northwestern,1.5,37.5,Over,3.5
9-Sep,3:30 PM,Wagner at Navy,Navy,37.9,99%,43-5,,,,,,
9-Sep,3:30 PM,Western Michigan at Syracuse,Syracuse,25.5,93%,37-12,Syracuse -23.5,Syracuse,2,55,Under,-6.4
9-Sep,4:00 PM,Cal Poly at San Jose State,SJSU,15.3,81%,35-20,,,,,,
9-Sep,4:00 PM,Kent State at Arkansas,Arkansas,48.8,100%,49-0,Arkansas -38,Arkansas,10.8,58.5,Under,-9.9
9-Sep,4:00 PM,Marshall at East Carolina,Marshall,4.5,60%,24-19,Marshall -3,Marshall,1.5,46,Under,-2.8
9-Sep,4:00 PM,Portland State at Wyoming,Wyoming,22.4,90%,38-16,,,,,,
9-Sep,5:00 PM,Austin Peay at Tennessee,Tennessee,50,100%,58-8,,,,,,
9-Sep,5:00 PM,Southeastern Louisiana at South Alabama,USA,12.2,76%,35-23,,,,,,
9-Sep,5:00 PM,Tulsa at Washington,Washington,32.7,97%,48-15,Washington -34,Tulsa,1.3,64.5,Under,-0.9
9-Sep,5:15 PM,Appalachian State at North Carolina,UNC,20.2,88%,40-19,UNC -18,North Carolina,2.2,61,Under,-2.1
9-Sep,6:00 PM,Duquesne at West Virginia,WVU,29,95%,42-13,,,,,,
9-Sep,6:00 PM,Fordham at Buffalo,Buffalo,8.9,70%,36-27,,,,,,
9-Sep,6:00 PM,Lafayette at Duke,Duke,41.7,99%,42-0,,,,,,
9-Sep,6:00 PM,Morgan State at Akron,Akron,11.3,74%,28-17,,,,,,
9-Sep,6:00 PM,New Mexico State at Liberty,Liberty,11.2,74%,34-22,Liberty -11,Liberty,0.2,56,Under,0
9-Sep,6:00 PM,Ohio at Florida Atlantic,FAU,10.3,72%,31-21,FAU -5,Florida Atlantic,5.3,59.5,Under,-6.9
9-Sep,6:00 PM,SMU at Oklahoma,Oklahoma,20.3,88%,42-22,Oklahoma -16.5,Oklahoma,3.8,70.5,Under,-7
9-Sep,6:00 PM,UAB at Georgia Southern,GS,2.7,56%,28-25,GS -6.5,UAB,3.8,59,Under,-5.8
9-Sep,6:00 PM,UL-Lafayette at Old Dominion,Louisiana,13.5,78%,30-16,Louisiana -6.5,UL-Lafayette,7,48.5,Under,-2.5
9-Sep,6:30 PM,Cincinnati at Pittsburgh,Pitt,6.3,64%,28-22,Pitt -8,Cincinnati,1.7,48.5,Over,1.1
9-Sep,6:30 PM,North Texas at Florida International,UNT,1.1,53%,30-29,UNT -12.5,Florida International,11.4,53.5,Over,5.7
9-Sep,7:00 PM,Connecticut at Georgia State,GSU,13,77%,33-20,GSU -3,Georgia State,10,54.5,Under,-1.8
9-Sep,7:00 PM,Florida A&M at USF,Florida A&M,4.6,60%,27-23,,,,,,
9-Sep,7:00 PM,Houston at Rice,Houston,19.7,87%,38-19,Houston -9.5,Houston,10.2,52.5,Over,4.3
9-Sep,7:00 PM,Houston Christian at Western Kentucky,WKU,37.5,98%,48-10,,,,,,
9-Sep,7:00 PM,Idaho at Nevada,Idaho,13.3,78%,35-22,,,,,,
9-Sep,7:00 PM,Indiana State at Indiana,Indiana,32,97%,37-5,,,,,,
9-Sep,7:00 PM,Jacksonville State at Coastal Carolina,Coastal,11,74%,33-22,Coastal -13,Jacksonville State,2,57,Under,-2.7
9-Sep,7:00 PM,Memphis at Arkansas State,Memphis,30.1,96%,44-14,Memphis -21.5,Memphis,8.6,58.5,Under,-1
9-Sep,7:00 PM,Middle Tennessee at Missouri,Missouri,32.4,97%,40-8,Missouri -20.5,Missouri,11.9,51.5,Under,-3.6
9-Sep,7:00 PM,Northwestern State at Louisiana Tech,LT,21.6,89%,40-19,,,,,,
9-Sep,7:00 PM,Oregon at Texas Tech,Oregon,12.5,76%,38-26,Oregon -6.5,Oregon,6,67,Under,-2.9
9-Sep,7:00 PM,Texas at Alabama,Alabama,12.8,77%,34-21,Alabama -7,Alabama,5.8,56.5,Under,-0.8
9-Sep,7:00 PM,UCF at Boise State,UCF,15.5,81%,35-19,UCF -3.5,UCF,12,58.5,Under,-4.1
9-Sep,7:30 PM,Arizona at Mississippi State,Miss. St.,14.8,80%,38-23,Miss. St. -10,Mississippi State,4.8,57.5,Over,3.5
9-Sep,7:30 PM,Charlotte at Maryland,Maryland,32.4,97%,40-8,Maryland -24.5,Maryland,7.9,50.5,Under,-2.4
9-Sep,7:30 PM,Eastern Michigan at Minnesota,Minnesota,24.8,92%,35-10,Minnesota -20,Minnesota,4.8,47,Under,-2.8
9-Sep,7:30 PM,Furman at South Carolina,S. Caro.,8.7,69%,32-23,,,,,,
9-Sep,7:30 PM,Grambling at LSU,LSU,48.5,100%,54-5,,,,,,
9-Sep,7:30 PM,McNeese State at Florida,Florida,43.4,99%,52-9,,,,,,
9-Sep,7:30 PM,Temple at Rutgers,Rutgers,16.1,82%,30-14,Rutgers -9.5,Rutgers,6.6,46.5,Under,-1.7
9-Sep,7:30 PM,UCLA at San Diego State,UCLA,13.7,78%,32-18,UCLA -13,UCLA,0.7,48.5,Over,1
9-Sep,7:30 PM,Wisconsin at Washington State,Wisconsin,4.7,61%,28-23,Wisconsin -6.5,Washington State,1.8,54.5,Under,-4
9-Sep,8:00 PM,Air Force vs. Sam Houston,Air Force,14.5,80%,23-8,Air Force -15,Sam Houston,0.5,37.5,Under,-6.9
9-Sep,8:00 PM,Idaho State at Utah State,Utah St.,23.8,92%,37-14,,,,,,
9-Sep,8:00 PM,Lamar at UL-Monroe,ULM,29.5,96%,41-11,,,,,,
9-Sep,8:00 PM,Nicholls State at TCU,TCU,44.3,99%,52-8,,,,,,
9-Sep,8:00 PM,Sam Houston vs. Air Force,Air Force,14.5,80%,23-8,Air Force -15,Sam Houston,0.5,37.5,Under,-6.9
9-Sep,8:00 PM,Tennessee Tech at New Mexico,UNM,15,81%,33-18,,,,,,
9-Sep,8:30 PM,Southern Miss at Florida State,FSU,32.4,97%,43-10,FSU -29.5,Florida State,2.9,52,Over,1.3
9-Sep,9:00 PM,Eastern Washington at Fresno State,Fresno,33.4,97%,45-11,,,,,,
9-Sep,9:00 PM,UC Davis at Oregon State,Oregon St.,15.1,81%,36-21,,,,,,
9-Sep,10:30 PM,Auburn at California,Auburn,7.5,67%,31-24,Auburn -6.5,Auburn,1,56.5,Under,-1.9
9-Sep,10:30 PM,Oklahoma State at Arizona State,Okla. St.,8.6,69%,33-24,Okla. St. -3.5,Oklahoma State,5.1,53,Over,4.2
9-Sep,10:30 PM,Stanford at USC,USC,32.9,97%,45-13,USC -29.5,USC,3.4,71,Under,-12.9
9-Sep,11:59 PM,Albany-NY at Hawaii,Hawaii,3,57%,28-25,,,,,,
