Date,Time (ET),Game,Proj. winner,Proj. margin,Win prob.,Proj. score (rounded),Spread,ATS Pick,Spread diff,O/U,O/U pick,O/U diff
21-Sep,7:30 PM,Georgia State at Coastal Carolina,Coastal,9.3,70%,34-25,Coastal -6.5,Coastal Carolina,2.8,61,Under,-2
22-Sep,7:00 PM,Wisconsin at Purdue,Wisconsin,11.8,75%,31-19,Wisconsin -7,Wisconsin,4.8,54.5,Under,-4.4
22-Sep,7:30 PM,NC State at Virginia,NC St.,15.2,81%,30-15,NC St. -9.5,NC State,5.7,45.5,Under,-0.7
22-Sep,10:30 PM,Boise State at San Diego State,Boise St.,8.1,68%,28-20,Boise St. -7,Boise State,1.1,45.5,Over,2.4
22-Sep,10:30 PM,Air Force at San Jose State,Air Force,9,70%,26-17,Air Force -4,Air Force,5,47,Under,-3.9
23-Sep,12:00 PM,Army at Syracuse,Syracuse,20.5,88%,35-15,Syracuse -13,Syracuse,7.5,50.5,Under,-0.4
23-Sep,12:00 PM,Auburn at Texas A&M,Texas A&M,6.9,65%,28-21,Texas A&M -7,Auburn,0.1,52.5,Under,-3
23-Sep,12:00 PM,Florida State at Clemson,Clemson,2.6,56%,29-26,FSU -1.5,Clemson,4.1,55,Under,-0.3
23-Sep,12:00 PM,Kentucky at Vanderbilt,Kentucky,16,82%,34-18,Kentucky -13.5,Kentucky,2.5,50.5,Over,1
23-Sep,12:00 PM,Oklahoma at Cincinnati,Oklahoma,16.9,84%,35-18,Oklahoma -13.5,Oklahoma,3.4,60.5,Under,-6.7
23-Sep,12:00 PM,Rutgers at Michigan,Michigan,28.6,95%,37-9,Michigan -25.5,Michigan,3.1,44.5,Over,1.4
23-Sep,12:00 PM,SMU at TCU,TCU,10.4,73%,35-25,TCU -6,TCU,4.4,63.5,Under,-3.4
23-Sep,12:00 PM,Tulsa at Northern Illinois,Tulsa,0.8,52%,29-29,NIU -3.5,Tulsa,4.3,53.5,Over,4.6
23-Sep,12:00 PM,Virginia Tech at Marshall,Marshall,5.6,63%,24-19,Marshall -7.5,Virginia Tech,1.9,41.5,Over,1.3
23-Sep,12:00 PM,Western Kentucky at Troy,Troy,9.9,72%,32-22,Troy -3,Troy,6.9,57.5,Under,-4.3
23-Sep,1:30 PM,Western Michigan at Toledo,Toledo,22.1,90%,37-14,Toledo -20.5,Toledo,1.6,55,Under,-4.1
23-Sep,2:00 PM,Georgia Southern at Ball State,GS,4.6,60%,31-26,GS -7,Ball State,2.4,58.5,Under,-1.9
23-Sep,3:30 PM,Boston College at Louisville,Louisville,20.1,88%,35-15,Louisville -13.5,Louisville,6.6,55,Under,-4.8
23-Sep,3:30 PM,BYU at Kansas,Kansas,0.1,50%,30-30,Kansas -8.5,BYU,8.4,56,Over,3.5
23-Sep,3:30 PM,Colorado at Oregon,Oregon,28.5,95%,46-17,Oregon -20.5,Oregon,8,72.5,Under,-9.7
23-Sep,3:30 PM,Delaware State at Miami-OH,Miami (OH),41.6,99%,43-1,,,,,,
23-Sep,3:30 PM,Duke at Connecticut,Duke,30.1,96%,39-9,Duke -22,Duke,8.1,48,Under,-0.1
23-Sep,3:30 PM,Florida Atlantic at Illinois,Illinois,16.5,83%,31-15,Illinois -12,Illinois,4.5,49,Under,-3.3
23-Sep,3:30 PM,Louisiana Tech at Nebraska,Nebraska,15,81%,34-19,Nebraska -20,Louisiana Tech,5,49,Over,3.9
23-Sep,3:30 PM,Maryland at Michigan State,Maryland,5.5,62%,27-21,Maryland -6,Michigan State,0.5,53.5,Under,-5.3
23-Sep,3:30 PM,Miami-FL at Temple,Miami,26.1,93%,38-11,Miami -25.5,Miami-FL,0.6,52.5,Under,-3.4
23-Sep,3:30 PM,New Mexico at Massachusetts,UMass,1.8,54%,26-24,UMass -2.5,New Mexico,0.7,50,Over,0.5
23-Sep,3:30 PM,Ohio at Bowling Green,Ohio,7.8,67%,29-21,Ohio -9.5,Bowling Green,1.7,46,Over,3.3
23-Sep,3:30 PM,Ole Miss at Alabama,Alabama,6.7,65%,32-25,Alabama -6.5,Alabama,0.2,55,Over,1.4
23-Sep,3:30 PM,Texas A&M-Commerce at Old Dominion,ODU,29.7,96%,37-8,,,,,,
23-Sep,3:30 PM,Texas Tech at West Virginia,Texas Tech,4.9,61%,32-27,Texas Tech -4.5,Texas Tech,0.4,55,Over,4.1
23-Sep,3:30 PM,UCLA at Utah,Utah,3.8,59%,29-26,Utah -5,UCLA,1.2,51.5,Over,3.4
23-Sep,4:00 PM,Oklahoma State at Iowa State,ISU,1.3,53%,22-21,ISU -2.5,Oklahoma State,1.2,36.5,Over,7
23-Sep,4:00 PM,Rice at USF,USF,0.3,51%,29-28,Rice -2.5,USF,2.8,55.5,Over,1.3
23-Sep,4:00 PM,UTSA at Tennessee,Tennessee,20,88%,39-19,Tennessee -20,UTSA,0,56.5,Over,1.4
23-Sep,5:00 PM,Central Michigan at South Alabama,USA,22.3,90%,35-13,USA -14.5,South Alabama,7.8,53,Under,-4.6
23-Sep,5:00 PM,Eastern Michigan at Jacksonville State,Jax State,2.3,55%,26-24,Jax State -4.5,Eastern Michigan,2.2,51,Under,-0.6
23-Sep,6:00 PM,Gardner-Webb at East Carolina,ECU,14.5,80%,34-20,,,,,,
23-Sep,6:30 PM,Georgia Tech at Wake Forest,Wake,14.6,80%,35-20,Wake -6.5,Wake Forest,8.1,60.5,Under,-5.5
23-Sep,6:30 PM,Liberty at Florida International,Liberty,10.5,73%,32-22,,,,,,
23-Sep,7:00 PM,Appalachian State at Wyoming,App. St.,3.1,57%,28-25,Wyoming -2.5,Appalachian State,5.6,44,Over,9
23-Sep,7:00 PM,Arizona at Stanford,Arizona,12.4,76%,34-22,Arizona -9.5,Arizona,2.9,59.5,Under,-3.6
23-Sep,7:00 PM,Arkansas at LSU,LSU,11,74%,35-24,LSU -18,Arkansas,7,55.5,Over,2.9
23-Sep,7:00 PM,Charlotte at Florida,Florida,35,98%,44-9,Florida -28,Florida,7,51,Over,1.3
23-Sep,7:00 PM,Colorado State at Middle Tennessee,MTSU,6.3,64%,27-21,MTSU -2,Middle Tennessee,4.3,53.5,Under,-4.9
23-Sep,7:00 PM,Nevada at Texas State,Texas St.,10.8,73%,28-18,Texas St. -16.5,Nevada,5.7,62,Under,-16.2
23-Sep,7:00 PM,Nicholls State at Tulane,Tulane,49.1,100%,53-3,,,,,,
23-Sep,7:00 PM,Oregon State at Washington State,Oregon St.,4.2,59%,29-24,Oregon St. -2.5,Oregon State,1.7,56,Under,-3.1
23-Sep,7:00 PM,Sam Houston at Houston,Houston,16.7,83%,31-15,Houston -13.5,Houston,3.2,38.5,Over,7.4
23-Sep,7:00 PM,Southern Miss at Arkansas State,So. Miss,1.5,53%,26-24,So. Miss -5.5,Arkansas State,4,48.5,Over,1.3
23-Sep,7:30 PM,Akron at Indiana,Indiana,17.7,85%,34-17,Indiana -17.5,Indiana,0.2,45,Over,6
23-Sep,7:30 PM,Buffalo at UL-Lafayette,Louisiana,15.8,82%,37-21,Louisiana -10,UL-Lafayette,5.8,58,Under,-0.1
23-Sep,7:30 PM,Iowa at Penn State,Penn St.,12.7,77%,26-14,Penn St. -14,Iowa,1.3,41.5,Under,-1.2
23-Sep,7:30 PM,Minnesota at Northwestern,Minnesota,13.4,78%,26-12,Minnesota -13,Minnesota,0.4,38,Under,-0.3
23-Sep,7:30 PM,Mississippi State at South Carolina,S. Caro.,1.6,54%,29-28,S. Caro. -4.5,Mississippi State,2.9,50.5,Over,6.3
23-Sep,7:30 PM,Missouri vs. Memphis,Missouri,1.8,54%,27-25,Missouri -6.5,Memphis,4.7,54.5,Under,-1.9
23-Sep,7:30 PM,Ohio State at Notre Dame,Ohio St.,1.4,53%,28-27,Ohio St. -3,Notre Dame,1.6,54,Over,1.1
23-Sep,7:30 PM,Texas at Baylor,Texas,15.2,81%,35-19,Texas -14.5,Texas,0.7,51.5,Over,2.6
23-Sep,7:30 PM,UAB at Georgia,UGA,44.1,99%,47-3,UGA -40,Georgia,4.1,53,Under,-3.1
23-Sep,8:00 PM,James Madison at Utah State,JMU,10,72%,31-21,JMU -5.5,James Madison,4.5,53,Under,-1
23-Sep,8:00 PM,North Carolina at Pittsburgh,UNC,4.8,61%,30-25,UNC -7,Pittsburgh,2.2,50,Over,5.3
23-Sep,8:00 PM,UCF at Kansas State,K-State,5.7,63%,30-24,K-State -7,UCF,1.3,57,Under,-2.9
23-Sep,9:00 PM,UNLV at UTEP,UNLV,1.9,54%,26-24,UNLV -3,UTEP,1.1,50.5,Over,0.2
23-Sep,9:30 PM,USC at Arizona State,USC,29.1,95%,45-16,USC -33,Arizona State,3.9,62,Under,-1.5
23-Sep,10:30 PM,California at Washington,Washington,21.4,89%,38-17,Washington -21.5,California,0.1,63,Under,-8.2
23-Sep,10:30 PM,Kent State at Fresno State,Fresno,27.3,94%,35-7,Fresno -27,Fresno State,0.3,51,Under,-9
23-Sep,11:59 PM,New Mexico State at Hawaii,NMSU,4.5,60%,31-26,Hawaii -2.5,New Mexico State,7,58.5,Under,-1.7
